,ENSO_SSH_Index
1992-12-01,1.09444125
1993-01-01,1.09444125
1993-02-01,1.17783925
1993-03-01,1.2061402
1993-04-01,1.3664975
1993-05-01,1.3216232
1993-06-01,0.97797975
1993-07-01,0.92251875
1993-08-01,0.9100306
1993-09-01,0.83199075
1993-10-01,0.83534
1993-11-01,0.7233883999999999
1993-12-01,0.706189
1994-01-01,0.5503348
1994-02-01,0.04856225
1994-03-01,-0.1078035
1994-04-01,0.10489575
1994-05-01,0.2429882
1994-06-01,0.2433335
1994-07-01,0.26892375
1994-08-01,0.4998858
1994-09-01,0.8272515
1994-10-01,0.9526706
1994-11-01,1.15425125
1994-12-01,1.35981625
1995-01-01,1.620644
1995-02-01,1.24379
1995-03-01,0.7514507500000001
1995-04-01,0.532381
1995-05-01,0.3966938
1995-06-01,0.28510175
1995-07-01,0.0070095999999999
1995-08-01,-0.3246225
1995-09-01,-0.3686235
1995-10-01,-0.4566924
1995-11-01,-0.52202025
1995-12-01,-0.5874283333333333
1996-01-01,-0.4014848
1996-02-01,-0.4198739999999999
1996-03-01,-0.452612
1996-04-01,-0.4573106
1996-05-01,-0.26879925
1996-06-01,-0.2584775
1996-07-01,-0.3251946
1996-08-01,-0.343758
1996-09-01,-0.52869725
1996-10-01,-0.5450656
1996-11-01,-0.7391687499999999
1996-12-01,-0.5290741999999999
1997-01-01,0.0704904999999999
1997-02-01,0.0622314999999999
1997-03-01,0.5436618
1997-04-01,1.04149975
1997-05-01,1.52360025
1997-06-01,1.8593374
1997-07-01,2.15786575
1997-08-01,2.4106945
1997-09-01,2.9313016
1997-10-01,3.271248
1997-11-01,3.517153
1997-12-01,3.4049162
1998-01-01,2.97421425
1998-02-01,2.55993425
1998-03-01,1.9244516
1998-04-01,1.457406
1998-05-01,0.9769305
1998-06-01,0.4129189999999999
1998-07-01,0.0824965
1998-08-01,-0.1938744
1998-09-01,-0.4724865
1998-10-01,-0.6915995
1998-11-01,-0.90072125
1998-12-01,-0.9842534
1999-01-01,-1.12313875
1999-02-01,-1.2708005
1999-03-01,-1.1411698
1999-04-01,-1.096806
1999-05-01,-0.9561534
1999-06-01,-0.81026025
1999-07-01,-0.9149375
1999-08-01,-0.9544872
1999-09-01,-0.99979075
1999-10-01,-1.088254
1999-11-01,-1.2446568
1999-12-01,-1.3945585
2000-01-01,-1.51681825
2000-02-01,-1.4204732
2000-03-01,-1.3613125
2000-04-01,-1.19042
2000-05-01,-1.0900536
2000-06-01,-1.02558775
2000-07-01,-0.8945802
2000-08-01,-0.78573275
2000-09-01,-0.65139325
2000-10-01,-0.7719198
2000-11-01,-0.91985325
2000-12-01,-0.98076325
2001-01-01,-1.0865352
2001-02-01,-1.17077325
2001-03-01,-1.0025835
2001-04-01,-0.9614492
2001-05-01,-0.77686525
2001-06-01,-0.6394215
2001-07-01,-0.418093
2001-08-01,-0.43574725
2001-09-01,-0.4025585
2001-10-01,-0.4339104
2001-11-01,-0.47505925
2001-12-01,-0.2090483333333333
2002-01-01,0.193257
2002-02-01,0.15986425
2002-03-01,0.10728725
2002-04-01,-0.1400478
2002-05-01,-0.162923
2002-06-01,-0.0771295
2002-07-01,0.1508694
2002-08-01,0.56402875
2002-09-01,0.9960838
2002-10-01,1.52072275
2002-11-01,1.58054525
2002-12-01,1.4200612
2003-01-01,1.160295
2003-02-01,0.848105
2003-03-01,0.4804496
2003-04-01,0.1637875
2003-05-01,-0.11222425
2003-06-01,0.0105592
2003-07-01,0.139608
2003-08-01,0.15112
2003-09-01,0.0759544
2003-10-01,0.08590775
2003-11-01,0.195997
2003-12-01,0.2040006
2004-01-01,0.356517
2004-02-01,0.22655275
2004-03-01,-0.043006
2004-04-01,0.1319055
2004-05-01,0.1152586
2004-06-01,0.047919
2004-07-01,0.27343775
2004-08-01,0.343591
2004-09-01,0.43436075
2004-10-01,0.38438075
2004-11-01,0.372758
2004-12-01,0.5216355
2005-01-01,0.4844784
2005-02-01,0.495387
2005-03-01,0.62099925
2005-04-01,0.36707475
2005-05-01,0.0532558
2005-06-01,-0.027851
2005-07-01,-0.21724325
2005-08-01,-0.1814672
2005-09-01,-0.2499753333333333
2005-10-01,-0.2947832
2005-11-01,-0.5913634999999999
2005-12-01,-0.7692475
2006-01-01,-0.910193
2006-02-01,-1.12983475
2006-03-01,-1.156915
2006-04-01,-0.9513875
2006-05-01,-0.7327688
2006-06-01,-0.5046925
2006-07-01,-0.166271
2006-08-01,0.172503
2006-09-01,0.3292085
2006-10-01,0.4073864
2006-11-01,0.5519585
2006-12-01,0.5249280000000001
2007-01-01,0.1949756
2007-02-01,-0.13405875
2007-03-01,-0.3844295
2007-04-01,-0.4839634
2007-05-01,-0.59658
2007-06-01,-0.749197
2007-07-01,-0.9048662
2007-08-01,-1.0174555
2007-09-01,-1.16363225
2007-10-01,-1.403523
2007-11-01,-1.62815425
2007-12-01,-1.57772575
2008-01-15,-1.7685098
2008-02-15,-1.8879785
2008-03-15,-1.823593
2008-04-15,-1.5468934
2008-05-15,-1.083412
2008-06-15,-0.92765175
2008-07-15,-0.848666
2008-08-15,-0.91787075
2008-09-15,-0.9537248
2008-10-15,-1.075189
2008-11-15,-1.317713
2008-12-15,-1.6663494
2009-01-15,-1.63947025
2009-02-15,-1.4441118
2009-03-15,-1.4441118
2009-04-15,-1.0290715
2009-05-15,-0.780285
2009-06-15,-0.471722
2009-07-15,-0.28083625
2009-08-15,-0.1276682
2009-09-15,-0.0538924999999999
2009-10-15,0.23920175
2009-11-15,0.5900194999999999
2009-12-15,0.9196522
2010-01-15,0.83371375
2010-02-15,0.6877614000000001
2010-03-15,0.6877614000000001
2010-04-15,0.3125215
2010-05-15,-0.3098534
2010-06-15,-0.8696845
2010-07-15,-1.0560705
2010-08-15,-1.3186658
2010-09-15,-1.57653575
2010-10-15,-1.69095775
2010-11-15,-1.8037602
2010-12-15,-1.980275
2011-01-15,-1.9775428
2011-02-15,-1.251554
2011-03-15,-1.251554
2011-04-15,-0.9831925
2011-05-15,-0.7148098
2011-06-15,-0.7354445000000001
2011-07-15,-0.83087375
2011-08-15,-0.9588544
2011-09-15,-1.29964
2011-10-15,-1.4715796
2011-11-15,-1.5051025
2011-12-15,-1.66722125
2012-01-15,-1.7957168
2012-02-15,-1.73217475
2012-03-15,-1.58099325
2012-04-15,-1.23352775
2012-05-15,-1.0902054
2012-06-15,-0.96351875
2012-07-15,-0.7703244
2012-08-15,-0.649469
2012-09-15,-0.61049725
2012-10-15,-0.547298
2012-11-15,-0.65670175
2012-12-15,-0.93025625
2013-01-15,-1.0435002
2013-02-15,-0.9802175
2013-03-15,-0.9802175
2013-04-15,-1.1113515
2013-05-15,-1.23096425
2013-06-15,-1.12492225
2013-07-15,-1.0305448
2013-08-15,-1.013712
2013-09-15,-0.908532
2013-10-15,-0.7532965
2013-11-15,-0.666953
2013-12-15,-0.8444940000000001
2014-01-15,-0.8286995
2014-02-15,0.0667396
2014-03-15,0.0667396
2014-04-15,0.4106849999999999
2014-05-15,0.36696475
2014-06-15,0.1218184
2014-07-15,-0.07667225
2014-08-15,-0.0592615
2014-09-15,0.1425578
2014-10-15,0.245772
2014-11-15,0.224151
2014-12-15,0.1895182
2015-01-15,0.3041955
2015-02-15,0.9346054
2015-03-15,0.9346054
2015-04-15,1.269809
2015-05-15,1.55499875
2015-06-15,1.5819478
2015-07-15,1.714437
2015-08-15,2.014958
2015-09-15,2.2284775
2015-10-15,2.409308
2015-11-15,2.43453675
2015-12-15,2.5052478
2016-01-15,2.449774
2016-02-15,2.1500598
2016-03-15,1.461302
2016-04-15,0.9244115
2016-05-15,0.4426278
2016-06-15,0.17345425
2016-07-15,0.04108275
2016-08-15,-0.2065494
2016-09-15,-0.322472
2016-10-15,-0.559605
2016-11-15,-0.571061
2016-12-15,-0.44557075
2017-01-15,-0.3331358
2017-02-15,-0.45110675
2017-03-15,-0.45110675
2017-04-15,-0.38762125
2017-05-15,-0.3433408
2017-06-15,-0.39279425
2017-07-15,-0.2877002
2017-08-15,-0.45663325
2017-09-15,-0.8093144999999999
2017-10-15,-1.0213062000000002
2017-11-15,-1.09780825
2017-12-15,-1.0648615
2018-01-15,-1.0400674
2018-02-15,-0.725803
2018-03-15,-0.725803
2018-04-15,-0.4790314
2018-05-15,-0.207295
2018-06-15,-0.169083
2018-07-15,-0.004234
2018-08-15,0.119458
2018-09-15,0.33270475
2018-10-15,0.5421294000000001
2018-11-15,0.64777425
2018-12-15,0.57222475
2019-01-15,0.6018954
2019-02-15,0.6473103333333333
2019-03-15,0.6473103333333333
2019-04-15,0.570942
2019-05-15,0.32706175
2019-06-15,0.071388
2019-07-15,-0.1354232
2019-08-15,-0.30345475
2019-09-15,-0.2825328
2019-10-15,-0.18613575
2019-11-15,-0.05312725
2019-12-15,0.2070106
2020-01-15,0.42021175
2020-02-15,0.388341
2020-03-15,0.29586
2020-04-15,-0.089684
2020-05-15,-0.40896025
2020-06-15,-0.5669908
2020-07-15,-0.633967
2020-08-15,-0.7982075
2020-09-15,-1.0348236
2020-10-15,-1.2282005
2020-11-15,-1.3000392
2020-12-15,-1.3776035
2021-01-15,-1.64988375
2021-02-15,-1.3005716
2021-03-15,-1.3005716
2021-04-15,-0.92649925
2021-05-15,-0.6677974
2021-06-15,-0.654638
2021-07-15,-0.8886065
2021-08-15,-1.0226934
2021-09-15,-1.19624925
2021-10-15,-1.42532925
2021-11-15,-1.6245435999999998
2021-12-15,-1.6220815
2022-01-15,-1.418939
2022-02-15,-1.481718
2022-03-15,-1.481718
2022-04-15,-1.35467375
2022-05-15,-1.1782876
2022-06-15,-1.0832025
2022-07-15,-1.253817
2022-08-15,-1.4023616
2022-09-15,-1.5547339999999998
2022-10-15,-1.6159062
2022-11-15,-1.66225075
2022-12-15,-1.655853
2023-01-15,-1.4209716
2023-02-15,-0.9956155
2023-03-15,-0.9956155
2023-04-15,-0.6049185
2023-05-15,-0.2108703999999999
2023-06-15,0.2039265
2023-07-15,0.305527
2023-08-15,0.4341665
2023-09-15,0.5070012500000001
2023-10-15,0.6353068000000001
2023-11-15,0.91628375
2023-12-15,0.88820175
2024-01-15,0.5431928
2024-02-15,0.213451
2024-03-15,-0.16194175
2024-04-15,-0.4106424000000001
2024-05-15,-0.5566985
2024-06-15,-0.560908
2024-07-15,-0.681916
2024-08-15,-0.66412225
2024-09-15,-0.75979525
2024-10-15,-0.7579480000000001
2024-11-15,-0.85602025
2024-12-15,-1.107747
2025-01-15,-1.28069325
